# lambda  U  m_neel_xy  mx_A  my_A  mz_A  mx_B  my_B  mz_B  converged
0.6000  7.157895  0.78556976  0.174612  -0.351839  -0.000000  -0.174612  0.351839  0.000000  true
0.6000  6.736842  0.75545536  0.167919  -0.338351  -0.000000  -0.167919  0.338351  0.000000  true
0.6000  6.315789  0.71808175  0.159612  -0.321612  -0.000000  -0.159612  0.321612  0.000000  true
0.6000  5.894737  0.67063527  0.149065  -0.300362  -0.000000  -0.149065  0.300362  0.000000  true
0.6000  5.473684  0.60849519  0.135253  -0.272531  -0.000000  -0.135253  0.272531  0.000000  true
0.6000  5.052632  0.52314619  0.116282  -0.234305  -0.000000  -0.116282  0.234305  0.000000  true
0.6000  4.631579  0.39470216  0.087732  -0.176778  -0.000000  -0.087732  0.176778  0.000000  true
0.6000  4.210526  0.11139875  0.024761  -0.049893  -0.000000  -0.024761  0.049893  0.000000  true
0.6000  3.789474  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.6000  3.368421  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.6000  2.947368  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.6000  2.526316  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.6000  2.105263  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.6000  1.684211  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.6000  1.263158  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.6000  0.842105  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.6000  0.421053  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.6000  0.000000  0.00000000  0.000000  0.000000  -0.000000  0.000000  0.000000  0.000000  true
0.8000  9.000000  0.82656109  -0.049783  0.410271  -0.000000  0.049783  -0.410271  0.000000  true
0.8000  8.526316  0.80588690  -0.048538  0.400009  -0.000000  0.048538  -0.400009  0.000000  true
0.8000  8.052632  0.78113314  -0.047047  0.387723  -0.000000  0.047047  -0.387723  0.000000  true
0.8000  7.578947  0.75108112  -0.045237  0.372806  -0.000000  0.045237  -0.372806  0.000000  true
0.8000  7.105263  0.71396844  -0.043002  0.354385  -0.000000  0.043002  -0.354385  0.000000  true
0.8000  6.631579  0.66713302  -0.040181  0.331138  -0.000000  0.040181  -0.331138  0.000000  true
0.8000  6.157895  0.60626389  -0.036515  0.300925  -0.000000  0.036515  -0.300925  0.000000  true
0.8000  5.684211  0.52357539  -0.031534  0.259881  -0.000000  0.031534  -0.259881  0.000000  true
0.8000  5.210526  0.40162374  -0.024189  0.199350  -0.000000  0.024189  -0.199350  0.000000  true
0.8000  4.736842  0.16204836  -0.009760  0.080434  -0.000000  0.009760  -0.080434  0.000000  true
0.8000  4.263158  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.8000  3.789474  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.8000  3.315789  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.8000  2.842105  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.8000  2.368421  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.8000  1.894737  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.8000  1.421053  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.8000  0.947368  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.8000  0.473684  0.00000000  -0.000000  0.000000  -0.000000  0.000000  -0.000000  0.000000  true
0.8000  0.000000  0.00000000  0.000000  0.000000  -0.000000  0.000000  0.000000  0.000000  true
1.0000  10.000000  0.82167570  0.299672  0.281041  -0.000000  -0.299672  -0.281041  0.000000  true
1.0000  9.473684  0.80106575  0.292156  0.273992  -0.000000  -0.292156  -0.273992  0.000000  true
1.0000  8.947368  0.77652220  0.283204  0.265597  -0.000000  -0.283204  -0.265597  0.000000  true
1.0000  8.421053  0.74690564  0.272403  0.255467  -0.000000  -0.272403  -0.255467  0.000000  true
1.0000  7.894737  0.71058314  0.259156  0.243044  -0.000000  -0.259156  -0.243044  0.000000  true
1.0000  7.368421  0.66511246  0.242572  0.227491  -0.000000  -0.242572  -0.227491  0.000000  true
1.0000  6.842105  0.60659784  0.221232  0.207477  -0.000000  -0.221232  -0.207477  0.000000  true
1.0000  6.315789  0.52816667  0.192627  0.180651  -0.000000  -0.192627  -0.180651  0.000000  true
1.0000  5.789474  0.41517567  0.151418  0.142004  -0.000000  -0.151418  -0.142004  0.000000  true
1.0000  5.263158  0.21455212  0.078249  0.073384  -0.000000  -0.078249  -0.073384  0.000000  true
1.0000  4.736842  0.00000000  -0.000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  true
1.0000  4.210526  0.00000000  -0.000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  true
1.0000  3.684211  0.00000000  -0.000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  true
1.0000  3.157895  0.00000000  -0.000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  true
1.0000  2.631579  0.00000000  -0.000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  true
1.0000  2.105263  0.00000000  -0.000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  true
1.0000  1.578947  0.00000000  -0.000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  true
1.0000  1.052632  0.00000000  -0.000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  true
1.0000  0.526316  0.00000000  -0.000000  -0.000000  -0.000000  0.000000  0.000000  0.000000  true
1.0000  0.000000  0.00000000  0.000000  0.000000  -0.000000  0.000000  0.000000  0.000000  true
