# lambda  arc  E1..E4
0.0500  1.52420115  -2.43001180  -2.43001180  2.43001180  2.43001180
0.0500  1.54452383  -2.45436284  -2.45436284  2.45436284  2.45436284
0.0500  1.56484651  -2.47826780  -2.47826780  2.47826780  2.47826780
0.0500  1.58516919  -2.50171892  -2.50171892  2.50171892  2.50171892
0.0500  1.60549187  -2.52470856  -2.52470856  2.52470856  2.52470856
0.0500  1.62581456  -2.54722928  -2.54722928  2.54722928  2.54722928
0.0500  1.64613724  -2.56927379  -2.56927379  2.56927379  2.56927379
0.0500  1.66645992  -2.59083500  -2.59083500  2.59083500  2.59083500
0.0500  1.68678260  -2.61190594  -2.61190594  2.61190594  2.61190594
0.0500  1.70710528  -2.63247984  -2.63247984  2.63247984  2.63247984
0.0500  1.72742797  -2.65255010  -2.65255010  2.65255010  2.65255010
0.0500  1.74775065  -2.67211030  -2.67211030  2.67211030  2.67211030
0.0500  1.76807333  -2.69115418  -2.69115418  2.69115418  2.69115418
0.0500  1.78839601  -2.70967566  -2.70967566  2.70967566  2.70967566
0.0500  1.80871869  -2.72766883  -2.72766883  2.72766883  2.72766883
0.0500  1.82904138  -2.74512798  -2.74512798  2.74512798  2.74512798
0.0500  1.84936406  -2.76204755  -2.76204755  2.76204755  2.76204755
0.0500  1.86968674  -2.77842219  -2.77842219  2.77842219  2.77842219
0.0500  1.89000942  -2.79424670  -2.79424670  2.79424670  2.79424670
0.0500  1.91033210  -2.80951609  -2.80951609  2.80951609  2.80951609
0.0500  1.93065479  -2.82422554  -2.82422554  2.82422554  2.82422554
0.0500  1.95097747  -2.83837040  -2.83837040  2.83837040  2.83837040
0.0500  1.97130015  -2.85194622  -2.85194622  2.85194622  2.85194622
0.0500  1.99162283  -2.86494874  -2.86494874  2.86494874  2.86494874
0.0500  2.01194551  -2.87737386  -2.87737386  2.87737386  2.87737386
0.0500  2.03226820  -2.88921771  -2.88921771  2.88921771  2.88921771
0.0500  2.05259088  -2.90047655  -2.90047655  2.90047655  2.90047655
0.0500  2.07291356  -2.91114687  -2.91114687  2.91114687  2.91114687
0.0500  2.09323624  -2.92122534  -2.92122534  2.92122534  2.92122534
0.0500  2.11355892  -2.93070880  -2.93070880  2.93070880  2.93070880
0.0500  2.13388160  -2.93959430  -2.93959430  2.93959430  2.93959430
