# U  arc  E1  E2  E3  E4
0.0000  7.898839  -2.07773100  -2.07773100  2.07773100  2.07773100
0.0000  7.929323  -2.10267468  -2.10267468  2.10267468  2.10267468
0.0000  7.959807  -2.12742071  -2.12742071  2.12742071  2.12742071
0.0000  7.990291  -2.15195895  -2.15195895  2.15195895  2.15195895
0.0000  8.020775  -2.17627962  -2.17627962  2.17627962  2.17627962
0.0000  8.051259  -2.20037327  -2.20037327  2.20037327  2.20037327
0.0000  8.081743  -2.22423074  -2.22423074  2.22423074  2.22423074
0.0000  8.112227  -2.24784320  -2.24784320  2.24784320  2.24784320
0.0000  8.142711  -2.27120209  -2.27120209  2.27120209  2.27120209
0.0000  8.173195  -2.29429912  -2.29429912  2.29429912  2.29429912
0.0000  8.203679  -2.31712626  -2.31712626  2.31712626  2.31712626
0.0000  8.234163  -2.33967574  -2.33967574  2.33967574  2.33967574
0.0000  8.264647  -2.36194001  -2.36194001  2.36194001  2.36194001
0.0000  8.295131  -2.38391177  -2.38391177  2.38391177  2.38391177
0.0000  8.325615  -2.40558392  -2.40558392  2.40558392  2.40558392
0.0000  8.356099  -2.42694960  -2.42694960  2.42694960  2.42694960
0.0000  8.386583  -2.44800212  -2.44800212  2.44800212  2.44800212
0.0000  8.417067  -2.46873501  -2.46873501  2.46873501  2.46873501
0.0000  8.447551  -2.48914199  -2.48914199  2.48914199  2.48914199
0.0000  8.478035  -2.50921696  -2.50921696  2.50921696  2.50921696
0.0000  8.508519  -2.52895400  -2.52895400  2.52895400  2.52895400
0.0000  8.539003  -2.54834736  -2.54834736  2.54834736  2.54834736
0.0000  8.569487  -2.56739148  -2.56739148  2.56739148  2.56739148
0.0000  8.599971  -2.58608093  -2.58608093  2.58608093  2.58608093
0.0000  8.630455  -2.60441047  -2.60441047  2.60441047  2.60441047
0.0000  8.660939  -2.62237500  -2.62237500  2.62237500  2.62237500
0.0000  8.691423  -2.63996958  -2.63996958  2.63996958  2.63996958
0.0000  8.721907  -2.65718941  -2.65718941  2.65718941  2.65718941
0.0000  8.752391  -2.67402985  -2.67402985  2.67402985  2.67402985
